2021-03-28 22:44:35,447 INFO: Binance Trader v0.0.2
2021-03-28 22:44:36,016 INFO: XRP balance: 0.0
2021-03-28 22:44:36,016 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,018 INFO: XRP balance: 0.0
2021-03-28 22:44:36,018 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,020 INFO: XRP balance: 0.0
2021-03-28 22:44:36,020 INFO: USDT balance: 10000.0
2021-03-28 22:45:49,437 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:49,440 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.9357
2021-03-28 22:45:49,514 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:50,186 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:50,819 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:50,851 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:50,856 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) upperzone 0.9347
2021-03-28 22:45:50,857 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) middlezone 0.9376
2021-03-28 22:45:50,858 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) bottomzone 0.9384
2021-03-28 22:45:51,528 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
